ID_JF	N	niche.mean	niche.med	niche.sd	bio	long	lat	Temp	Alt	Area	Brealm
NAJF200682	1000	0.292421053	0.263157895	0.151421164	0.085739	-99.2	28.8	21.4	133	100	Nearctic
NAJF200749	1000	0.277842105	0.263157895	0.137104454	0.032031	-82.1	27.9	22.5	74	148	Nearctic
NAJF201161	1000	0.28631579	0.263157895	0.151983549	0.036717	-82.3	27.7	22.5	86	116	Nearctic
NAJF201607	1000	0.286684211	0.263157895	0.166345602	0.031925	-82.3	27.5	22.6	82	84	Nearctic
NAJF202703	1000	0.287631579	0.263157895	0.16368715	0.033502	-82.2	27.2	22.6	62	119	Nearctic
NAJF202816	1000	0.292473684	0.263157895	0.166125088	0.032919	-81.8	27.5	22.6	127	86	Nearctic
NAJF29797	1000	0.297578948	0.263157895	0.153543508	0.117971	-101.8	51.4	1.4	72	7	Nearctic
NAJF380861	1000	0.341	0.315789474	0.145029867	0.064718	-119.2	60.8	-4.4	66	43	Nearctic
NAJF45529	1000	0.331473684	0.263157895	0.153605907	0.067957	-91	53.9	-2.6	90	6	Nearctic
NAJF55803	1000	0.331263158	0.263157895	0.149325479	0.069014	-87.9	53.5	-1.8	80	41	Nearctic
NAJF89454	1000	0.329684211	0.263157895	0.154874294	0.056535	-86.7	50.8	-0.7	98	23	Nearctic
NAJF96474	1000	0.333684211	0.263157895	0.14348098	0.052719	-81.9	49.3	0.6	97	10	Nearctic
SAHS12788	1000	0.184210526	0.157894737	0.106285536	0.482313	-67.9	5.7	27.7	85	155	Neotropical
SAHS14010	1000	0.186210526	0.157894737	0.150389344	0.341783	-76.8	6.6	31.1	73	29	Neotropical
SAHS15147	1000	0.206052632	0.210526316	0.098144168	0.155455	-58.4	5.6	26.3	144	126	Neotropical
SAHS15508	1000	0.183368421	0.157894737	0.098313102	0.32704	-60.3	6.2	25.2	15	31	Neotropical
SAHS16359	1000	0.198105263	0.210526316	0.081310095	0.209484	-55.4	4.4	26.2	35	37	Neotropical
SAHS16458	1000	0.197368421	0.210526316	0.091198583	0.226312	-57.3	3.2	26.9	122	125	Neotropical
SAHS16540	1000	0.192736842	0.210526316	0.089514676	0.137017	-53.6	4.6	26.5	48	18	Neotropical
SAHS16680	1000	0.182842105	0.157894737	0.086032848	0.227358	-54.5	3.4	26	103	123	Neotropical
SAHS16758	1000	0.229789474	0.210526316	0.080826794	0.102248	-53.2	5.2	26.2	3	60	Neotropical
SAHS16845	1000	0.192263158	0.157894737	0.081451275	0.119884	-53.1	4.6	26.1	3	124	Neotropical
SAHS16944	1000	0.214526316	0.210526316	0.09072187	0.081289	-52.8	5.2	26.6	2	157	Neotropical
SAHS17005	1000	0.205421053	0.210526316	0.090834384	0.10454	-52.8	4.9	26.1	17	93	Neotropical
SAHS17178	1000	0.206526316	0.210526316	0.065647843	0.128919	-52.5	4.5	25.9	104	104	Neotropical
SAHS17436	1000	0.194210527	0.157894737	0.087986002	0.163025	-52.7	3.8	25.5	3	9	Neotropical
SAHS17714	1000	0.204105263	0.210526316	0.094507623	0.219738	-52.5	2.9	24.8	87	79	Neotropical
SAHS25790	1000	0.177473684	0.157894737	0.10166682	0.684462	-64.6	-6.7	26	107	120	Neotropical
SAHS32054	1000	0.189368421	0.157894737	0.1099075	0.560278	-49.5	-11.3	25.2	4	133	Neotropical
SAHS39877	1000	0.228736842	0.210526316	0.127038613	0.62569	-43.2	-13.5	25.4	18	121	Neotropical
SAHS4509	1000	0.239105263	0.210526316	0.175581979	0.537571	-74.7	6.4	27.9	89	67	Neotropical
SAHS57719	1000	0.206736842	0.210526316	0.115881108	0.596487	-56.6	-22.9	23.1	113	65	Neotropical
